# Logfile created on 2026-06-08 12:40:19 +0200 by logger.rb/v1.5.3
2026-06-08 12:40:19 +0200: Memory Usage (435168K) : recog_mom has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (435168K) : recog_pcm has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (435296K) : colopen_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (435296K) : graphmetal1_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (435424K) : graphmetal1_filler has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (435424K) : graphmetal1_nofill has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (435552K) : graphmetal1_slit has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (435552K) : graphmetal1_opc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (435552K) : graphmet1l_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (435680K) : graphmet1l_filler has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (435808K) : graphmet1l_nofill has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (435808K) : graphmet1l_slit has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (435936K) : graphmet1l_opc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (435936K) : extblock_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (436064K) : nldd_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (436064K) : pldd_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (436064K) : next_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (436192K) : pext_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (436192K) : nexthv_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (436320K) : pexthv_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (436320K) : graphgate_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (436448K) : sinwg_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (436448K) : sinwg_filler has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (436576K) : sinwg_nofill has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (436576K) : mempad_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (436704K) : topvia1_drw has 122 polygons
2026-06-08 12:40:19 +0200: Memory Usage (436704K) : topmetal1_drw has 1 polygons
2026-06-08 12:40:19 +0200: Memory Usage (436832K) : topmetal1_pin has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (436832K) : topmetal1_mask has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (436960K) : topmetal1_filler has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (436960K) : topmetal1_nofill has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (437088K) : topmetal1_slit has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (437088K) : topmetal1_text has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (437088K) : topmetal1_noqrc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (437216K) : topmetal1_res has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (437216K) : topmetal1_iprobe has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (437344K) : topmetal1_diffprb has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (437344K) : inldpwl_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (437472K) : polyres_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (437472K) : polyres_pin has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (437600K) : vmim_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (437600K) : nbulaycut_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (437728K) : antmetal1_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (437728K) : topvia2_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (437856K) : topmetal2_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (437984K) : topmetal2_pin has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (437984K) : topmetal2_mask has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (438112K) : topmetal2_filler has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (438112K) : topmetal2_nofill has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (438240K) : topmetal2_slit has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (438240K) : topmetal2_text has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (438368K) : topmetal2_noqrc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (438368K) : topmetal2_res has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (438368K) : topmetal2_iprobe has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (438496K) : topmetal2_diffprb has 0 polygons
